,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.005036090409340843,0.005021594869008116,0.004855953005495925,0.004758743184265761,0.004153718384182578,0.0032405737692709474,0.004713531809152448,0.0024005720491800924,0.003753542542752834,0.004182714096062291,0.0011021897874752768,0.005106017549979691,0.0033368207302978056
fnlwgt,0.005036090409340843,0.0,1.4495540332725753e-05,0.00018013740384491733,0.0002773472250750825,0.0008823720251582653,0.0017955166400698956,0.0003225586001883953,0.0026355183601607505,0.008789632952093677,0.000853376313278552,0.003933900621865567,6.992714063884761e-05,0.0017066235883615572
education num,0.005021594869008116,1.4495540332725753e-05,0.0,0.0001656418635121916,0.00026285168474235676,0.0008678764848255396,0.0017810210997371697,0.00030806305985566954,0.0026210228198280247,0.00877513741176095,0.0008388807729458263,0.00391940508153284,8.442268097157336e-05,0.0016926704459477356
capital gain,0.004855953005495925,0.00018013740384491733,0.0001656418635121916,0.0,9.720982123016518e-05,0.000702234621313348,0.001615379236224978,0.00014242119634347799,0.002455380956315833,0.00860949554824876,0.0006732389094336347,0.0037537632180206486,0.000250064544483765,0.001536930897813819
capital loss,0.004758743184265761,0.0002773472250750825,0.00026285168474235676,9.720982123016518e-05,0.0,0.0006050248000831829,0.001518169414994813,4.521137511331276e-05,0.002358171135085668,0.008512285727018594,0.0005760290882034695,0.0036565533967904836,0.0003472743657139301,0.0014496236388669803
hours per week,0.004153718384182578,0.0008823720251582653,0.0008678764848255396,0.000702234621313348,0.0006050248000831829,0.0,0.0009131446149116301,0.00055981342496987,0.001753146335002485,0.007907260926935411,2.8995711879713258e-05,0.003051528596707301,0.000952299165797113,0.0010054744273080224
workclass,0.0032405737692709474,0.0017955166400698956,0.0017810210997371697,0.001615379236224978,0.001518169414994813,0.0009131446149116301,0.0,0.0014729580398815001,0.0008400017200908553,0.006994116312023782,0.0009421403267913433,0.0021383839817956706,0.001865443780708743,0.0007823491071964536
education,0.004713531809152448,0.0003225586001883953,0.00030806305985566954,0.00014242119634347799,4.521137511331276e-05,0.00055981342496987,0.0014729580398815001,0.0,0.0023129597599723557,0.00846707435190528,0.0005308177130901569,0.0036113420216771705,0.0003924857408272429,0.0014106184889269284
marital status,0.0024005720491800924,0.0026355183601607505,0.0026210228198280247,0.002455380956315833,0.002358171135085668,0.001753146335002485,0.0008400017200908553,0.0023129597599723557,0.0,0.006154114591932927,0.0017821420468821984,0.0012983822617048156,0.0027054455007995983,0.0011132844653083144
occupation,0.003753542542752834,0.008789632952093677,0.00877513741176095,0.00860949554824876,0.008512285727018594,0.007907260926935411,0.006994116312023782,0.00846707435190528,0.006154114591932927,0.0,0.007936256638815125,0.004855732330228111,0.008859560092732525,0.007086127995630551
relationship,0.004182714096062291,0.000853376313278552,0.0008388807729458263,0.0006732389094336347,0.0005760290882034695,2.8995711879713258e-05,0.0009421403267913433,0.0005308177130901569,0.0017821420468821984,0.007936256638815125,0.0,0.003080524308587014,0.0009233034539173998,0.0010226100035914843
race,0.0011021897874752768,0.003933900621865567,0.00391940508153284,0.0037537632180206486,0.0036565533967904836,0.003051528596707301,0.0021383839817956706,0.0036113420216771705,0.0012983822617048156,0.004855732330228111,0.003080524308587014,0.0,0.0040038277625044135,0.002249741439625405
native country,0.005106017549979691,6.992714063884761e-05,8.442268097157336e-05,0.000250064544483765,0.0003472743657139301,0.000952299165797113,0.001865443780708743,0.0003924857408272429,0.0027054455007995983,0.008859560092732525,0.0009233034539173998,0.0040038277625044135,0.0,0.0017739144529507656
origin,0.0033368207302978056,0.0017066235883615572,0.0016926704459477356,0.001536930897813819,0.0014496236388669803,0.0010054744273080224,0.0007823491071964536,0.0014106184889269284,0.0011132844653083144,0.007086127995630551,0.0010226100035914843,0.002249741439625405,0.0017739144529507656,0.0
